cohort,metric,alternative,baseline,n,wilcoxon_statistic,p_raw,mean_paired_difference,median_paired_difference,difference_ci95_low,difference_ci95_high,p_holm
t1d,normality_rmse,less,Fixed PID,30,0.0,9.313225746154785e-10,-4.296344535194288,-4.344064781378265,-5.102374142553706,-3.555882245004939,4.6566128730773926e-09
t1d,normality_rmse,less,SL-LQG,30,0.0,9.313225746154785e-10,-11.799813972218493,-10.92548051660939,-13.229135501385144,-10.474135526261744,4.6566128730773926e-09
t1d,normality_rmse,less,Direct PPO,30,0.0,9.313225746154785e-10,-38.44077274365928,-40.82927280798662,-41.734130246272606,-35.094569483578546,4.6566128730773926e-09
t1d,normality_rmse,less,PPO-PID,30,0.0,9.313225746154785e-10,-4.432303636686887,-4.418604648684628,-5.321515970269929,-3.6067396310953788,4.6566128730773926e-09
t1d,normality_rmse,less,ADMM-PID,30,0.0,9.313225746154785e-10,-5.465520971468124,-5.194739882210232,-5.93242005608793,-5.0318777221777635,4.6566128730773926e-09
t1d,tir_70_180,greater,Fixed PID,30,325.0,6.084131402430708e-06,1.914648212226066,1.5570934256055367,1.3494809688581313,2.5490196078431357,9.748658738433781e-06
t1d,tir_70_180,greater,SL-LQG,30,465.0,8.63386382806499e-07,6.043829296424453,5.363321799307947,4.69434832756632,7.578143021914647,4.265544188699137e-06
t1d,tir_70_180,greater,Direct PPO,30,465.0,8.666533220995528e-07,19.677047289504035,19.896193771626294,17.427623990772776,22.06487889273356,4.265544188699137e-06
t1d,tir_70_180,greater,PPO-PID,30,373.0,4.874329369216891e-06,2.1799307958477523,1.730103806228385,1.4648212226066932,2.96453287197232,9.748658738433781e-06
t1d,tir_70_180,greater,ADMM-PID,30,465.0,8.531088377398274e-07,2.5605536332179937,2.0761245674740536,2.0415224913494794,3.1487889273356418,4.265544188699137e-06
t2d,normality_rmse,less,Fixed PID,30,0.0,9.313225746154785e-10,-2.670896261254021,-2.612748984273586,-2.9400746854126023,-2.4238963094326107,4.6566128730773926e-09
t2d,normality_rmse,less,SL-LQG,30,0.0,9.313225746154785e-10,-11.770438220219091,-12.284491154379538,-12.94075677901751,-10.635656281164781,4.6566128730773926e-09
t2d,normality_rmse,less,Direct PPO,30,0.0,9.313225746154785e-10,-10.95132050164222,-10.895445128163441,-12.406426353208438,-9.551332979325567,4.6566128730773926e-09
t2d,normality_rmse,less,PPO-PID,30,0.0,9.313225746154785e-10,-1.692494551444556,-1.7109491186790269,-1.9355945517684323,-1.4626435157474167,4.6566128730773926e-09
t2d,normality_rmse,less,ADMM-PID,30,0.0,9.313225746154785e-10,-3.3008020728212673,-3.256481459078829,-3.613302681034522,-3.0102513196488148,4.6566128730773926e-09
t2d,tir_70_180,greater,Fixed PID,30,433.5,1.4698741181878575e-06,1.3610149942329908,1.0380622837370197,0.9688581314878931,1.8108419838523682,4.311498454538389e-06
t2d,tir_70_180,greater,SL-LQG,30,465.0,8.655631974598644e-07,5.213379469434835,4.844290657439444,3.9792387543252628,6.5743944636678195,4.311498454538389e-06
t2d,tir_70_180,greater,Direct PPO,30,465.0,8.622996909076779e-07,5.155709342560555,5.190311418685127,4.025374855824685,6.424452133794696,4.311498454538389e-06
t2d,tir_70_180,greater,PPO-PID,30,381.0,2.3577065505379768e-05,0.7497116493656312,0.3460207612456827,0.42675893886966965,1.1072664359861624,2.3577065505379768e-05
t2d,tir_70_180,greater,ADMM-PID,30,435.0,1.260116955178722e-06,1.764705882352945,1.7301038062283638,1.3607266435986167,2.2145328719723176,4.311498454538389e-06
