cohort,method,n,tir_70_180_mean,tir_70_180_std,tir_70_180_ci95,tight_80_140_mean,tight_80_140_std,tight_80_140_ci95,tbr_70_mean,tbr_70_std,tbr_70_ci95,tbr_54_mean,tbr_54_std,tbr_54_ci95,tar_180_mean,tar_180_std,tar_180_ci95,mean_glucose_mean,mean_glucose_std,mean_glucose_ci95,sd_glucose_mean,sd_glucose_std,sd_glucose_ci95,cv_glucose_mean,cv_glucose_std,cv_glucose_ci95,rmse_110_mean,rmse_110_std,rmse_110_ci95,normality_rmse_mean,normality_rmse_std,normality_rmse_ci95,total_insulin_u_mean,total_insulin_u_std,total_insulin_u_ci95,safety_interventions_mean,safety_interventions_std,safety_interventions_ci95,runtime_s_mean,runtime_s_std,runtime_s_ci95
normal,Normal physiology,30,96.80507497116494,3.2161685869096086,1.1508911480760726,85.17877739331024,6.273342109153466,2.244886642965188,0.0,0.0,0.0,0.0,0.0,0.0,3.1949250288350637,3.21616858690961,1.150891148076073,114.98073911536368,6.592342479621966,2.3590394594871475,23.83880101672006,5.8079000274967525,2.078330333105966,20.588273374668418,4.050854450669496,1.4495796484038954,24.94596793347615,6.695339236104869,2.395896375445842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09468202166669165,0.0023363646959263093,0.0008360573690581247
t1d,Fixed PID,30,85.24798154555941,5.2590471765424995,1.8819258627897715,69.98846597462513,5.6177150924168915,2.010273528132581,0.16147635524798157,0.6722705786744482,0.24056893698220386,0.0,0.0,0.0,14.59054209919262,5.2398568584946625,1.875058695670512,128.3005207177325,8.903616588908356,3.186118277426574,42.95731333999791,7.879327719031429,2.8195812127303044,33.35636060044304,4.724286140887049,1.6905640838156055,47.07107594217528,9.892892003400599,3.5401259380269883,28.054665368156318,7.45122562696968,2.666386846541887,49.54154594938304,6.956630915493328,2.4893984020802935,0.0,0.0,0.0,0.11635418796672634,0.0050932257820236445,0.0018225874388370768
t1d,SL-LQG,30,81.11880046136102,7.542542859794037,2.6990642986356965,63.171856978085344,9.150195056989704,3.274355249013212,0.0,0.0,0.0,0.0,0.0,0.0,18.881199538638988,7.54254285979404,2.699064298635698,142.6342356816168,9.512419475242083,3.4039755923871424,42.20422958524645,8.59366158227391,3.0752023027822797,29.39391575899787,4.438170404556582,1.5881788824899463,53.45699911817863,12.076843799954977,4.321643051498476,35.558134805180515,8.55505948369999,3.06138871921371,38.09753734180357,4.58063908370457,1.639160644570728,0.0,0.0,0.0,0.3134746256000047,0.030053296336393722,0.010754433976142402
t1d,Direct PPO,30,67.48558246828142,9.717720568279193,3.4774416450152446,51.63783160322952,8.496023230210785,3.040262867219244,0.0,0.0,0.0,0.0,0.0,0.0,32.51441753171857,9.71772056827919,3.4774416450152437,154.5936543841208,15.31930133523981,5.4819415789328385,60.604603850616165,11.131347161375881,3.9833014246616902,38.98897201971784,4.338212374018814,1.5524093606454534,75.54252370995546,17.271181100396756,6.1804127825168775,62.19909357662131,14.412248584957997,5.157356920844224,34.742745386962504,0.7066160813188431,0.2528593172597003,0.0,0.0,0.0,0.12387791600005278,0.004843697347470985,0.0017332948353060275
t1d,PPO-PID,30,84.98269896193771,5.218948165191919,1.8675766158635305,68.58131487889273,6.058618110386691,2.1680486468271685,0.4267589388696655,1.3252105519135204,0.4742205056482453,0.0,0.0,0.0,14.590542099192618,5.262657183585079,1.8832176872192206,127.6791101422976,8.830424320116755,3.159926760413842,43.144732682244566,7.740590636586091,2.7699347853800305,33.67427199041937,4.659475385171803,1.667371852737797,47.01277846721705,9.674322989065397,3.461912020738589,28.190624469648913,7.291116345409766,2.6090924759600305,50.129459853569365,7.169227289673178,2.5654750375379405,0.0,0.0,0.0,0.1248617200666558,0.003872057440756149,0.0013855979601151392
t1d,ADMM-PID,30,84.60207612456746,5.346456117258828,1.9132047505143084,72.09919261822375,6.555517290165889,2.3458617346801445,0.011534025374855823,0.06317445876645515,0.022606689734717418,0.0,0.0,0.0,15.386389850057672,5.347215411722906,1.913476460548741,132.84982332594984,8.928347863216285,3.194968250278584,43.17560012043691,9.115547838781714,3.2619569012078973,32.30941356112817,5.284447842072377,1.891015374214192,49.09226942234504,11.455282837896648,4.099220317772955,29.223841804430155,8.540039795041345,3.056013992654147,45.481286519888144,6.339784661624697,2.268662805012774,0.0,0.0,0.0,1.4153898618666214,0.027818727293884637,0.009954803713830904
t1d,RSP-ADMM-PID (proposed),30,87.16262975778548,5.308171440202323,1.8995047547769515,75.1441753171857,6.095768062772866,2.1813425865561737,0.0,0.0,0.0,0.0,0.0,0.0,12.837370242214531,5.308171440202323,1.8995047547769515,127.83039369686682,8.256903020149181,2.954694798988583,39.55690497890543,9.393382874455538,3.361378891859717,30.694573670465047,5.685512342923709,2.0345344626463304,43.604693032071715,11.452658665141518,4.09828126961261,23.758320832962024,8.711632565317009,3.117417676897539,49.63438594356988,8.481790386755653,3.0351697095996046,19.5,17.62003170375636,6.305247367694315,4.038578839633328,0.1319573263191263,0.047220322778663004
t2d,Fixed PID,30,88.48904267589387,4.913623648496557,1.758317640763301,73.9677047289504,6.251322140999682,2.237006898559917,0.0,0.0,0.0,0.0,0.0,0.0,11.510957324106114,4.913623648496558,1.7583176407633014,128.57507574499917,6.9175442688062105,2.4754114251962847,34.47285431651893,6.419901505946786,2.2973322495553816,26.711764135068947,4.031660699788812,1.4427112528611787,39.34778806645151,8.325994246582585,2.979418776840854,20.167685191123496,3.4350572015310923,1.2292194328581103,35.57382064237198,7.2419871426690845,2.5915118165454643,0.0,0.0,0.0,0.11399575773328552,0.0029932586176197712,0.0010711238400071584
t2d,SL-LQG,30,84.63667820069203,6.536038174736384,2.3388912227451,64.69434832756632,8.898478602560493,3.1842796726249603,0.0,0.0,0.0,0.0,0.0,0.0,15.363321799307958,6.536038174736384,2.3388912227451,138.90996021118644,8.751904101395304,3.1318286610047097,36.385706511654504,7.013549485347892,2.5097664507184754,26.04241219582325,3.677087381684075,1.3158288205124378,46.595573414155766,10.442217887937487,3.7366996812367788,29.267227150088562,3.6125570044167485,1.2927369215736642,16.29007157482007,2.5938678409870057,0.9282036860945935,0.0,0.0,0.0,0.3051131548667096,0.018027834074679727,0.006451177571966075
t2d,Direct PPO,30,84.69434832756632,6.538616993981786,2.339814041360424,67.00115340253748,8.206720310385704,2.9367371469275785,0.0,0.0,0.0,0.0,0.0,0.0,15.30565167243368,6.538616993981786,2.339814041360424,133.06739404018793,10.071950667656376,3.6042012581196823,39.25972769630278,7.811987201462662,2.7954837179993994,29.35339323051882,4.351264187933365,1.5570798922717282,45.88867675505378,11.103513842255532,3.9733413993298194,28.448109431511696,4.821152471055037,1.725227254891496,26.723912047942886,0.8654646371633806,0.3097025429383062,0.0,0.0,0.0,0.12089454443330393,0.0026617331409227864,0.0009524889717837584
t2d,PPO-PID,30,89.10034602076122,4.938613320352778,1.7672600799904332,75.06343713956171,5.662368420416822,2.0262525163412306,0.0,0.0,0.0,0.0,0.0,0.0,10.899653979238755,4.93861332035278,1.7672600799904337,127.10170017372977,6.653949923253266,2.3810854000573802,34.133115938348006,6.30250205481543,2.2553213955081137,26.756849956855167,4.009541203943698,1.4347958929289715,38.36180876487419,8.069215478242395,2.887531674684755,19.189283481314032,3.4979759294868025,1.2517346104974811,38.60746466861958,8.408090950235056,3.0087967049458744,0.0,0.0,0.0,0.12157607276670505,0.002076935473023626,0.0007432218139176989
t2d,ADMM-PID,30,88.08535178777393,5.042793536153021,1.8045404914269385,73.82929642445212,5.980486026132717,2.140089439553449,0.0,0.0,0.0,0.0,0.0,0.0,11.914648212226068,5.042793536153025,1.8045404914269398,130.01367952171793,6.940622766849156,2.4836699596576386,35.0089380232187,7.010571878723826,2.5087009278724284,26.806359973834937,4.373222721270889,1.5649376525103398,40.4827777320291,8.924328634880318,3.1935299878899808,20.797591002690737,3.6219938029202217,1.2961138365488398,32.724842190036654,7.020694840890903,2.5123233833611796,0.0,0.0,0.0,1.42078913806666,0.03623620395730287,0.012966959053104861
t2d,RSP-ADMM-PID (proposed),30,89.85005767012687,4.791445904976947,1.7145968967447975,76.51672433679354,5.48593977359925,1.9631183359018607,0.0,0.0,0.0,0.0,0.0,0.0,10.149942329873124,4.791445904976946,1.714596896744797,125.42884598687968,6.471333595397891,2.3157369863957507,33.47450835640404,6.556429171451449,2.346188047207392,26.57090659718393,4.206140216784842,1.5051479461516488,37.028529453939846,8.231248312086592,2.9455143796113514,17.49678892986947,3.60786140568514,1.2910566231474183,42.449877874534174,10.272168764022846,3.675848383749446,0.0,0.0,0.0,3.912800227466687,0.06027192043481856,0.02156802973212038
